week,matchup_id,team1_roster_id,team1_name,team1_bench_points,team2_roster_id,team2_name,team2_bench_points,winner_roster_id,margin_of_victory,date_recorded
2,5,1,tomgray,0.0,8,timoslimo,4.4,8,4.4,2025-09-12T14:58:45.714165
2,3,2,FancyLad,0.0,9,H3AN5,0.0,2,0.0,2025-09-12T14:58:45.714204
2,1,3,NicksKnack,24.4,12,Tumble0,0.0,3,24.4,2025-09-12T14:58:45.714211
2,4,4,TheOnlySarge,0.0,10,BootyClapper22,0.0,4,0.0,2025-09-12T14:58:45.714216
2,6,5,norfolknchance23,0.0,11,NotTooShabby67,1.5,11,1.5,2025-09-12T14:58:45.714220
2,2,6,HuskyinOz,1.7,7,nev419,0.0,6,1.7,2025-09-12T14:58:45.714225
